,Carter Number,Name
caldwji01,4,Jim Caldwell
cartege01,4,George Carter
davisji01,4,Jim Davis
dinwibi01,4,Bill Dinwiddie
doveso01,4,Sonny Dove
filipro01,4,Ron Filipek
foxji01,4,Jim Fox
fraziwa01,4,Walt Frazier
grahama01,4,Mal Graham
grayga01,4,Gary Gray
hamilde01,4,Dennis Hamilton
haskicl01,4,Clem Haskins
jacksal01,4,Al Jackson
jacksph01,3,Phil Jackson
jonesjo01,4,Johnny Jones
jonesni01,4,Nick Jones
lattida01,4,Dave Lattin
lehmage01,4,George Lehmann
lewisbo01,4,Bobby Lewis
longpa01,4,Paul Long
lottpl01,5,Plummer Lott
mannied01,4,Ed Manning
mckenst01,4,Stan McKenzie
milleja01,4,Jay Miller
monroea01,3,Earl Monroe
pattege01,4,George Patterson
reidji01,4,Jim Reid
rileypa01,4,Pat Riley
rulebo01,4,Bob Rule
spitzcr01,4,Craig Spitzer
tuckeal01,4,Al Tucker
turnebi01,4,Bill Turner
walkeji01,4,Jimmy Walker
weitzri01,4,Rick Weitzman
westro01,4,Roland West
wetzejo01,4,John Wetzel
wilbuke01,4,Ken Wilburn
williar01,4,Art Williams
workmto01,4,Tom Workman
abdulza01,3,Zaid Abdul-Aziz
adelmri01,4,Rick Adelman
allenbo01,4,Bob Allen
barneha01,4,Harry Barnes
biedeed01,5,Ed Biedenbach
boerwto01,3,Tom Boerwinkle
cartyja01,5,Jay Carty
chanedo01,3,Don Chaney
cunnidi01,4,Dick Cunningham
fostefr01,3,Fred Foster
frinkpa01,4,Pat Frink
gregoga01,4,Gary Gregor
hairsal01,4,Al Hairston
halimsh01,4,Shaler Halimon
harlisk01,4,Skip Harlicka
harriar01,4,Art Harris
hayesel01,3,Elvin Hayes
hewitbi01,4,Bill Hewitt
hoskebi01,4,Bill Hosket
johnsri01,4,Rich Johnson
kauffbo01,4,Bob Kauffman
kennejo01,4,Joe Kennedy
knowlro01,5,Rod Knowles
lantzst01,4,Stu Lantz
maydo01,4,Don May
mooreot01,4,Otto Moore
newmada01,4,Dave Newmark
niemari01,4,Rich Niemann
ormsba01,4,Barry Orms
paulkch01,4,Charlie Paulk
peterlo01,4,Loy Petersen
