,Carter Number,Name
birdla01,2,Larry Bird
evansmi01,3,Mike Evans
garlaga01,4,Gary Garland
jeelaab01,3,Abdul Jeelani
johnsma02,3,Magic Johnson
leaveal01,2,Allen Leavell
willidu01,3,Duck Williams
moncrsi01,2,Sidney Moncrief
hendege01,2,Gerald Henderson
copelho01,3,Hollis Copeland
paxsoji02,3,Jim Paxson
hamilro01,3,Roy Hamilton
hustoge01,3,Geoff Huston
cummipa01,2,Pat Cummings
robincl01,3,Cliff Robinson
baileja01,3,James Bailey
duerote01,3,Terry Duerod
cookje01,2,Jeff Cook
hubbaph01,2,Phil Hubbard
willisl01,2,Sly Williams
dawkipa01,3,Paul Dawkins
nattca01,3,Calvin Natt
richacl01,3,Clint Richardson
peckwi01,4,Wiley Peck
kelsegr01,3,Greg Kelser
pellosa01,3,Sam Pellom
spanaji01,3,Jim Spanarkel
johnsvi01,2,Vinnie Johnson
hollabr01,3,Brad Holland
evansea01,3,Earl Evans
malovst01,3,Steve Malovic
mackol01,3,Ollie Mack
kiffiir01,4,Irv Kiffin
coughjo01,3,John Coughran
toonebe01,3,Bernard Toone
norrisy01,4,Sylvester Norris
batesbi01,3,Billy Ray Bates
wilsobu01,3,Bubba Wilson
bostola01,4,Lawrence Boston
mokespa01,3,Paul Mokeski
johnsch02,3,Cheese Johnson
zenoto01,3,Tony Zeno
kramear01,4,Arvid Kramer
deanegr01,3,Greg Deane
crosbte01,3,Terry Crosby
kilpaca01,3,Carl Kilpatrick
orrlo01,2,Louis Orr
carrojo01,2,Joe Barry Carroll
moorejo01,2,Johnny Moore
mchalke01,2,Kevin McHale
macyky01,2,Kyle Macy
smithla01,2,Larry Smith
brookmi01,3,Michael Brooks
laimbbi01,2,Bill Laimbeer
robinwa01,3,Wayne Robinson
woodsmi01,2,Mike Woodson
griffda01,2,Darrell Griffith
cookda01,3,Darwin Cook
ranseke01,3,Kelvin Ransey
johnsre01,3,Reggie Johnson
okoremi01,3,Mike O'Koren
drewla01,3,Larry Drew
toneyan01,3,Andrew Toney
hanzlbi01,3,Bill Hanzlik
moorelo01,3,Lowes Moore
garreca01,3,Calvin Garrett
donalja01,2,James Donaldson
hordgce01,3,Cedrick Hordges
worthsa01,3,Sam Worthen
jonesed01,3,Edgar Jones
cartere01,3,Reggie Carter
reidbi01,3,Billy Reid
gminsmi01,2,Mike Gminski
wilkije01,3,Jeff Wilkins
harpemi01,4,Mike Harper
sheltcr01,3,Craig Shelton
cartebu01,3,Butch Carter
romarlo01,3,Lorenzo Romar
mahorri01,2,Rick Mahorn
curetea01,2,Earl Cureton
vandeki01,2,Kiki Vandeweghe
wilkeja02,3,James Wilkes
whitnha02,3,Hawkeye Whitney
sichtje01,2,Jerry Sichting
collido02,3,Don Collins
brownri01,2,Rickey Brown
matthwe01,2,Wes Matthews
scalede01,3,DeWayne Scales
nilesmi01,3,Mike Niles
durenjo01,3,John Duren
nicksca01,3,Carl Nicks
wileymi01,3,Michael Wiley
jordawa01,3,Walter Jordan
kinchch01,3,Chad Kinch
colliar01,3,Art Collins
terryca01,3,Carlos Terry
kreklwa01,3,Wayne Kreklow
rankwa01,4,Wally Rank
valenro01,3,Ronnie Valentine
hardyal01,3,Alan Hardy
allumda01,4,Darrell Allums
nattke01,3,Kenny Natt
rayja01,3,James Ray
keacl01,3,Clarence Kea
fulleto01,3,Tony Fuller
sparrro01,2,Rory Sparrow
vromabr01,3,Brett Vroman
johnsle01,3,Lee Johnson
stroujo01,3,John Stroud
lestero01,3,Ronnie Lester
mayfibi01,3,Bill Mayfield
drollra01,4,Ralph Drollinger
priceto01,4,Tony Price
milledi01,3,Dick Miller
oldhaja01,2,Jawann Oldham
lawreed01,3,Edmund Lawrence
blackno01,3,Norman Black
patrimy01,4,Myles Patrick
brownle02,3,Lewis Brown
brittda01,3,Dave Britton
jacksto02,4,Tony Jackson
mccorke01,3,Keith McCord
davismo01,4,Monti Davis
rulanje01,3,Jeff Ruland
schayda01,2,Danny Schayes
willibu01,2,Buck Williams
willihe01,2,Herb Williams
valenda01,3,Darnell Valentine
blackro01,2,Rolando Blackman
tripuke01,2,Kelly Tripucka
chambto01,2,Tom Chambers
vinceja01,3,Jay Vincent
listeal01,2,Alton Lister
turneel01,2,Elston Turner
banksge01,2,Gene Banks
nancela01,3,Larry Nance
johnsfr01,2,Frank Johnson
macklru01,3,Rudy Macklin
johnsst03,2,Steve Johnson
vraneda01,3,Danny Vranes
kingal01,2,Albert King
woolror01,2,Orlando Woolridge
johnsed03,2,Eddie Johnson
smithji01,3,Jim Smith
thomais01,2,Isiah Thomas
verhope01,3,Pete Verhoeven
loderke01,3,Kevin Loder
gudmupe01,3,Petur Gudmundsson
dougljo01,3,John Douglas
rambiku01,2,Kurt Rambis
brogaji01,3,Jim Brogan
nimphku01,3,Kurt Nimphius
willisa02,3,Sam Williams
lampje01,3,Jeff Lamp
davisch02,3,Charles Davis
aingeda01,2,Danny Ainge
tolbera01,3,Ray Tolbert
aguirma01,2,Mark Aguirre
bradlch01,3,Charles Bradley
blumera01,3,Ray Blume
cattabo01,3,Bobby Cattage
rainsed01,3,Ed Rains
wittsga01,3,Garry Witts
radfoma01,3,Mark Radford
woodho01,3,Howard Wood
edwarfr01,3,Franklin Edwards
mcgeemi01,2,Mike McGee
bradlal02,3,Alex Bradley
jackstr01,3,Tracy Jackson
mckenke01,3,Kevin McKenna
dillami01,3,Mickey Dillard
dykemcr01,3,Craig Dykema
mcdowha01,2,Hank McDowell
dennake01,3,Kenny Dennard
woodal01,3,Al Wood
hayesst01,3,Steve Hayes
lloydle01,2,Lewis Lloyd
yonakri01,3,Rich Yonakor
bransbr01,3,Brad Branson
mcculjo01,3,John McCullough
johnscl02,3,Clay Johnson
burkmro01,3,Roger Burkman
burnsda01,3,David Burns
sprigla01,3,Larry Spriggs
hagangl01,3,Glenn Hagan
leero02,3,Rock Lee
baileca01,4,Carl Bailey
coopejo01,3,Joe Cooper
nealyed01,2,Ed Nealy
johnsge03,3,George Johnson
higgiro01,3,Rod Higgins
eavesje01,2,Jerry Eaves
wilkido01,2,Dominique Wilkins
leverfa01,3,Fat Lever
kellocl01,3,Clark Kellogg
eatonma01,2,Mark Eaton
iavarma01,2,Marc Iavaroni
presspa01,3,Paul Pressey
tucketr01,2,Trent Tucker
anderri01,2,Richard Anderson
worthja01,2,James Worthy
dailequ01,2,Quintin Dailey
hodgecr01,3,Craig Hodges
connele01,2,Lester Conner
garnebi02,3,Bill Garnett
williro02,3,Rob Williams
teaglte01,2,Terry Teagle
thompla01,2,LaSalle Thompson
cummite01,2,Terry Cummings
baglejo01,2,John Bagley
russewa01,2,Walker Russell
whitero01,3,Rory White
sheroed01,3,Ed Sherod
slaugjo01,3,Jose Slaughter
levincl01,2,Cliff Levingston
steppbr01,3,Brook Steppe
towneli01,3,Linton Townes
battoda01,3,Dave Batton
englech01,3,Chris Engler
flowebr01,3,Bruce Flowers
anderjj01,3,J.J. Anderson
thirdda01,3,David Thirdkill
philled01,3,Eddie Phillips
schoeru01,3,Russ Schoene
thompco01,4,Corny Thompson
williri01,3,Rickey Williams
tayloje01,3,Jeff Taylor
warribr01,3,Bryan Warrick
floydsl01,2,Sleepy Floyd
piercri01,2,Ricky Pierce
tillida01,3,Darren Tillis
mcnamma01,3,Mark McNamara
robinol01,3,Oliver Robinson
edmonke01,3,Keith Edmonson
taylovi01,3,Vince Taylor
norriau01,3,Audie Norris
pittmch01,3,Charles Pittman
smithde02,2,Derek Smith
sandemi01,2,Mike Sanders
hastisc01,2,Scott Hastings
kopicjo01,3,Joe Kopicki
johnsji01,3,Jim Johnstone
magleda01,3,Dave Magley
greigjo01,3,John Greig
joneshu01,3,Hutch Jones
morgagu01,3,Guy Morgan
davismi03,3,Mike Davis
lingest01,3,Steve Lingenfelter
coxch01,3,Chubby Cox
zoetji01,3,Jim Zoet
nevitch01,2,Chuck Nevitt
anderdw01,3,Dwight Anderson
drexlcl01,2,Clyde Drexler
harpede01,2,Derek Harper
wiggimi01,2,Mitchell Wiggins
thomppa01,3,Paul Thompson
walkeda01,2,Darrell Walker
sampsra01,2,Ralph Sampson
baileth01,2,Thurl Bailey
riverdo01,2,Doc Rivers
malonje01,2,Jeff Malone
stipast01,3,Steve Stipanovich
hinsoro01,3,Roy Hinson
whatlen01,2,Ennis Whatley
fostero01,3,Rod Foster
roberfr01,2,Fred Roberts
mccraro01,2,Rodney McCray
lowesi01,2,Sidney Lowe
waitegr01,2,Granville Waiters
wittmra01,2,Randy Wittman
dayeda01,3,Darren Daye
scottby01,2,Byron Scott
sundvjo01,2,Jon Sundvold
thomaji01,2,Jim Thomas
ellisda01,2,Dale Ellis
mannipa01,2,Pace Mannion
breuera01,2,Randy Breuer
grangst01,2,Stewart Granger
carteho01,3,Howard Carter
hansebo01,2,Bob Hansen
greensi02,2,Sidney Green
paxsojo01,2,John Paxson
combsle01,3,Leroy Combs
mccrasc01,2,Scooter McCray
crossru01,3,Russell Cross
threase01,2,Sedale Threatt
suttlda01,3,Dane Suttle
michela01,2,Larry Micheaux
kitegr01,2,Greg Kite
westma01,2,Mark West
garrijo01,3,John Garris
gibsomi01,3,Mike Gibson
clarkca01,3,Carlos Clark
bryanwa01,3,Wallace Bryant
rautile01,2,Leo Rautins
willike01,3,Kevin Williams
piotrto01,3,Tom Piotrowski
weidnbr01,3,Brant Weidner
pinonjo01,3,John Pinone
ehlocr01,2,Craig Ehlo
kuczebr01,3,Bruce Kuczenski
austike01,3,Ken Austin
jonesma02,3,Mark Jones
wilsomi01,3,Michael Wilson
millebo01,3,Bob Miller
lockhda01,3,Darrell Lockhart
jonesch01,2,Charles Jones
willike02,1,Kevin Willis
thorpot01,2,Otis Thorpe
jordami01,2,Michael Jordan
brownto01,2,Tony Brown
olajuha01,1,Hakeem Olajuwon
perkisa01,2,Sam Perkins
barklch01,2,Charles Barkley
stockjo01,2,John Stockton
humphja01,2,Jay Humphries
flemive01,2,Vern Fleming
roberal01,2,Alvin Robertson
turpime01,2,Melvin Turpin
brickfr01,2,Frank Brickowski
jonesch02,3,Charles Jones
coltest01,2,Steve Colter
mccorti01,2,Tim McCormick
kerseje01,2,Jerome Kersey
bowiesa01,2,Sam Bowie
cagemi01,2,Michael Cage
bannike01,3,Ken Bannister
holtomi01,2,Mike Holton
wilsoot01,3,Othell Wilson
aleksch01,3,Chuck Aleksinas
stanste01,3,Terence Stansbury
turneje01,2,Jeff Turner
jonesoz01,3,Ozell Jones
plummga01,3,Gary Plummer
gordola01,3,Lancaster Gordon
carran01,2,Antoine Carr
blackco01,3,Cory Blackwell
peterji01,2,Jim Petersen
durrade01,3,Devin Durrant
thompbe01,2,Bernard Thompson
campbto01,2,Tony Campbell
wilkied01,2,Eddie Lee Wilkins
cavenro01,3,Ron Cavenall
grayst01,2,Stuart Gray
thibepe01,3,Peter Thibeaux
fieldke01,3,Kenny Fields
burttst01,2,Steve Burtt
sittoch01,3,Charlie Sitton
schefto01,3,Tom Scheffler
whitewi01,3,Willie White
carliri01,2,Rick Carlisle
woodle01,3,Leon Wood
anderro01,3,Ron Anderson
sapplwa01,3,Wayne Sappleton
slubyto01,3,Tom Sluby
murphja01,2,Jay Murphy
popeda01,3,David Pope
willigu02,3,Guy Williams
sewelto01,3,Tom Sewell
schwejo01,3,John Schweitz
edelike01,3,Kenton Edelin
wilkida01,3,Dale Wilkinson
gravebu01,3,Butch Graves
youngda01,2,Danny Young
jonesea01,3,Earl Jones
youngmi01,3,Michael Young
jacksra01,3,Ralph Jackson
mcdanxa01,2,Xavier McDaniel
koncajo01,2,Jon Koncak
dumarjo01,2,Joe Dumars
greenac01,2,A.C. Green
wilkige01,2,Gerald Wilkins
malonka01,2,Karl Malone
tisdawa01,2,Wayman Tisdale
bolma01,2,Manute Bol
pincked01,2,Ed Pinckney
kleinjo01,2,Joe Kleine
webbsp01,2,Spud Webb
portete01,2,Terry Porter
benjabe01,2,Benoit Benjamin
scurrca01,2,Carey Scurry
oaklech01,1,Charles Oakley
minnidi01,2,Dirk Minniefield
thornbo01,2,Bob Thornton
phelpmi01,3,Michael Phelps
hugheri01,2,Alfredrick Hughes
martibi01,3,Bill Martin
battljo01,2,John Battle
catlete01,2,Terry Catledge
schrede01,2,Detlef Schrempf
johnske01,3,Ken Johnson
mosspe01,3,Perry Moss
leeke01,2,Keith Lee
harrist01,2,Steve Harris
vincesa01,3,Sam Vincent
wennibi01,2,Bill Wennington
mullich01,2,Chris Mullin
reynoje01,3,Jerry Reynolds
willipe01,3,Pete Williams
ewingpa01,2,Patrick Ewing
gloucge01,3,Georgi Glouchkov
blabuw01,3,Uwe Blab
rasmubl01,2,Blair Rasmussen
cofiefr01,2,Fred Cofield
mccladw01,3,Dwayne McClain
smrekmi01,2,Mike Smrek
charllo01,2,Lorenzo Charles
brittmi01,2,Mike Brittain
stokegr01,3,Greg Stokes
mcneach01,2,Chris McNealy
henryca01,3,Carl Henry
mcdonbe01,3,Ben McDonald
greenke02,3,Kenny Green
crossje01,3,Jeff Cross
keeliha01,3,Harold Keeling
adamsmi01,2,Michael Adams
corbity01,1,Tyrone Corbin
vanosni01,3,Nick Vanos
toneyse01,2,Sedric Toney
greenke01,3,Ken Green
cookeda01,3,David Cooke
martibr01,3,Brian Martin
wintevo01,3,Voise Winters
stivral01,2,Alex Stivrins
creviro01,3,Ron Crevier
rowlade01,3,Derrick Rowland
gregocl01,3,Claude Gregory
josepyv01,3,Yvon Joseph
hendeje01,3,Jerome Henderson
sallejo01,2,John Salley
persoch01,2,Chuck Person
harpero01,2,Ron Harper
dawkijo01,2,Johnny Dawkins
daughbr01,2,Brad Daugherty
hornaje01,2,Jeff Hornacek
williho01,2,Hot Rod Williams
sellebr01,2,Brad Sellers
willijo02,2,John Williams
gattike01,2,Kenny Gattison
wingada01,2,David Wingate
rodmade01,2,Dennis Rodman
tarplro01,2,Roy Tarpley
washipe01,3,Pearl Washington
mcmilna01,3,Nate McMillan
krystla01,2,Larry Krystkowiak
colembe01,2,Ben Coleman
walkeke01,2,Kenny Walker
pricema01,2,Mark Price
pressha01,3,Harold Pressley
curryde01,1,Dell Curry
kemptti01,2,Tim Kempton
alarima01,2,Mark Alarie
gondrgr01,3,Grant Gondrezick
addisra01,2,Rafael Addison
brownmi01,2,Mike Brown
feitlda01,2,Dave Feitl
johnsbu01,2,Buck Johnson
newmajo01,2,Johnny Newman
thompbi01,3,Billy Thompson
berrywa01,2,Walter Berry
duckwke01,2,Kevin Duckworth
bedfowi01,3,William Bedford
jonesan01,3,Anthony Jones
rogerjo01,2,Johnny Rogers
martima01,3,Maurice Martin
smithke03,3,Keith Smith
smithcl01,2,Clinton Smith
henryco01,3,Conner Henry
washbch01,2,Chris Washburn
